location,job,salary_med,demand
"Charleston, WV",Software Developer / Engineer,84046,5
"Charleston, WV",IT manager,92781,3
"Charleston, WV",Web Developer,85358,3
"Charleston, WV",Database Administrator,80625,4
"Charleston, WV",Cyber Security Analyst,82423,3
"Charleston, WV",Systems Analyst,70455,3
"Charleston, WV",Network Engineer / Architect,95860,4
"Charleston, WV",Electrical Design Engineer,82286,3
"Charleston, WV",Data Scientist,110512,3
