location,job,salary_med,demand
"Pierre, SD",Software Developer / Engineer,83241,5
"Pierre, SD",IT manager,93953,4
"Pierre, SD",Web Developer,83366,4
"Pierre, SD",Database Administrator,93967,3
"Pierre, SD",Cyber Security Analyst,117891,3
"Pierre, SD",Systems Analyst,64892,3
"Pierre, SD",Network Engineer / Architect,110858,5
"Pierre, SD",Data Scientist,81231,3
