location,job,salary_med,demand
"Jefferson City, MO",Software Developer / Engineer,85935,5
"Jefferson City, MO",IT manager,86944,3
"Jefferson City, MO",Web Developer,87938,3
"Jefferson City, MO",Database Administrator,69287,4
"Jefferson City, MO",Cyber Security Analyst,75454,3
"Jefferson City, MO",Systems Analyst,40803,4
"Jefferson City, MO",Network Engineer / Architect,109240,5
"Jefferson City, MO",Telecommunications Network Technician,42019,2
"Jefferson City, MO",Data Scientist,80744,3
